Trace
Swept SA
A.21.04,N9000B
2560000000,-66.4724578857422
2570000000,-107.952072143555
2580000000,-80.3995971679688
2590000000,-111.634979248047
2600000000,-80.8600234985352
2610000000,-106.463356018066
2620000000,-80.4609298706055
2630000000,-115.13451385498
2640000000,-82.2287521362305
2650000000,-119.120681762695
2660000000,-66.6801376342773
2670000000,-114.402320861816
2680000000,-81.9955673217773
2690000000,-116.265625
2700000000,-82.7427825927734
2710000000,-111.255012512207
2720000000,-82.6816864013672
2730000000,-112.795936584473
2740000000,-82.2754898071289
2750000000,-111.077095031738
2760000000,-79.3684844970703
2770000000,-109.519119262695
2780000000,-82.942756652832
2790000000,-109.499702453613
2800000000,-81.7871932983398
2810000000,-112.440475463867
2820000000,-82.5074920654297
2830000000,-111.439422607422
2840000000,-82.7143936157227
2850000000,-110.361045837402
2860000000,-66.1540374755859
2870000000,-111.649864196777
2880000000,-81.5759124755859
2890000000,-111.059097290039
2900000000,-82.6118392944336
2910000000,-110.58504486084
2920000000,-82.5946273803711
2930000000,-112.031410217285
2940000000,-81.1221923828125
2950000000,-109.795318603516
2960000000,-73.9921875
2970000000,-109.579559326172
2980000000,-82.5868988037109
2990000000,-115.914268493652
3000000000,-82.5574493408203
3010000000,-109.947547912598
3020000000,-83.1810150146484
3030000000,-114.132301330566
3040000000,-70.9995498657227
3050000000,-116.166473388672
3060000000,-82.8016662597656
3070000000,-111.744453430176
3080000000,-83.5104217529297
3090000000,-108.553077697754
3100000000,-82.7107925415039
3110000000,-109.486129760742
3120000000,-82.7295608520508
3130000000,-110.912506103516
3140000000,-72.912956237793
3150000000,-110.389533996582
3160000000,-80.3925018310547
3170000000,-108.38826751709
3180000000,-80.7188186645508
3190000000,-111.863906860352
3200000000,-81.8164901733398
3210000000,-110.87474822998
3220000000,-80.4798583984375
3230000000,-108.972290039063
3240000000,-67.8124313354492
3250000000,-109.985496520996
3260000000,-82.2896041870117
3270000000,-112.628684997559
3280000000,-81.6198196411133
3290000000,-108.012474060059
3300000000,-79.5920181274414
3310000000,-113.919868469238
3320000000,-81.550422668457
3330000000,-111.766647338867
3340000000,-73.4116363525391
3350000000,-109.824356079102
3360000000,-81.3467102050781
3370000000,-108.391944885254
3380000000,-78.9602203369141
3390000000,-112.151336669922
3400000000,-80.6702880859375
3410000000,-110.965255737305
3420000000,-69.6415100097656
3430000000,-107.365592956543
3440000000,-81.0287780761719
3450000000,-107.969665527344
3460000000,-79.4488677978516
3470000000,-110.129768371582
3480000000,-78.873908996582
3490000000,-111.361404418945
3500000000,-79.6455078125
3510000000,-111.103607177734
3520000000,-61.2811241149902
3530000000,-108.077941894531
3540000000,-80.3969421386719
3550000000,-110.179306030273
3560000000,-78.0449371337891
3570000000,-107.586578369141
3580000000,-79.4597625732422
3590000000,-111.77173614502
3600000000,-79.8591690063477
3610000000,-112.233268737793
3620000000,-72.0548629760742
3630000000,-107.707290649414
3640000000,-79.1447219848633
3650000000,-110.855041503906
3660000000,-80.8233795166016
3670000000,-114.877571105957
3680000000,-79.5552749633789
3690000000,-110.363067626953
3700000000,-80.2549285888672
3710000000,-114.720947265625
3720000000,-69.3784790039063
3730000000,-112.343933105469
3740000000,-80.4101104736328
3750000000,-107.052360534668
3760000000,-80.254508972168
3770000000,-111.961402893066
3780000000,-81.3749847412109
3790000000,-111.032760620117
3800000000,-65.4165649414063
3810000000,-110.866516113281
3820000000,-78.3210220336914
3830000000,-112.248397827148
3840000000,-80.6603164672852
3850000000,-114.143493652344
3860000000,-81.4581909179688
3870000000,-107.959533691406
3880000000,-80.7254867553711
3890000000,-109.202255249023
3900000000,-49.4823799133301
3910000000,-109.436340332031
3920000000,-79.2897186279297
3930000000,-108.546096801758
3940000000,-81.1755599975586
3950000000,-113.338150024414
3960000000,-80.0547485351563
3970000000,-111.366386413574
3980000000,-80.3950500488281
3990000000,-112.999153137207
4000000000,-67.8352737426758
4010000000,-111.913368225098
4020000000,-80.98779296875
4030000000,-113.449226379395
4040000000,-82.0027313232422
4050000000,-111.325736999512
4060000000,-80.4583282470703
4070000000,-113.61629486084
4080000000,-81.0005798339844
4090000000,-111.196586608887
4100000000,-50.5044059753418
4110000000,-109.107551574707
4120000000,-81.3860092163086
4130000000,-109.663787841797
4140000000,-81.2099075317383
4150000000,-114.097465515137
4160000000,-80.5076293945313
4170000000,-108.766586303711
4180000000,-69.997184753418
4190000000,-109.066665649414
4200000000,-81.6670608520508
4210000000,-113.437797546387
4220000000,-80.5753402709961
4230000000,-113.189422607422
4240000000,-80.9533538818359
4250000000,-111.347007751465
4260000000,-80.3001556396484
4270000000,-110.673828125
4280000000,-62.5479888916016
4290000000,-114.749366760254
4300000000,-80.8055572509766
4310000000,-109.634971618652
4320000000,-81.0220108032227
4330000000,-112.86856842041
4340000000,-80.9519805908203
4350000000,-109.923820495605
4360000000,-80.5692749023438
4370000000,-110.62223815918
4380000000,-81.1756591796875
4390000000,-110.257873535156
4400000000,-81.0653686523438
4410000000,-109.300384521484
4420000000,-80.0410842895508
4430000000,-110.568084716797
