Trace
Swept SA
A.21.04,N9000B
12720000,-91.4477386474609
12760000,-108.788223266602
12800000,-89.0173950195313
12840000,-106.053298950195
12880000,-91.0800476074219
12920000,-115.30339050293
12960000,-91.4753799438477
13000000,-101.480239868164
13040000,-93.5415267944336
13080000,-107.197418212891
13120000,-92.7412414550781
13160000,-107.254638671875
13200000,-90.1076278686523
13240000,-109.872459411621
13280000,-90.1994171142578
13320000,-100.693862915039
13360000,-88.369499206543
13400000,-111.722045898438
13440000,-90.9800415039063
13480000,-111.80298614502
13520000,-90.0302581787109
13560000,-103.266822814941
13600000,-92.6658020019531
13640000,-104.930160522461
13680000,-91.9739227294922
13720000,-114.665924072266
13760000,-91.0825424194336
13800000,-113.616874694824
13840000,-92.1808776855469
13880000,-105.641891479492
13920000,-92.6366271972656
13960000,-110.895240783691
14000000,-88.3401184082031
14040000,-107.580444335938
14080000,-88.6357574462891
14120000,-110.692291259766
14160000,-92.7520217895508
14200000,-109.915382385254
14240000,-92.1100463867188
14280000,-105.356002807617
14320000,-91.9851837158203
14360000,-107.753540039063
14400000,-90.4163513183594
14440000,-101.18285369873
14480000,-93.4396743774414
14520000,-105.263145446777
14560000,-90.7505035400391
14600000,-104.275871276855
14640000,-92.0085525512695
14680000,-103.184661865234
14720000,-93.7084732055664
14760000,-105.214202880859
14800000,-90.402946472168
14840000,-105.061683654785
14880000,-90.6493148803711
14920000,-107.54500579834
14960000,-92.1974716186523
15000000,-104.756553649902
15040000,-92.5226058959961
15080000,-107.889541625977
15120000,-93.8784255981445
15160000,-102.645500183105
15200000,-89.7677841186523
15240000,-100.394416809082
15280000,-91.6729431152344
15320000,-106.362655639648
15360000,-92.6823348999023
15400000,-103.639762878418
15440000,-90.2412872314453
15480000,-107.778251647949
15520000,-92.2777481079102
15560000,-99.4610824584961
15600000,-92.3041381835938
15640000,-110.404800415039
15680000,-95.2554092407227
15720000,-109.813682556152
15760000,-96.5513153076172
15800000,-112.060272216797
15840000,-94.9294662475586
15880000,-107.158790588379
15920000,-93.7674102783203
15960000,-103.953231811523
16000000,-91.8349914550781
16040000,-102.803085327148
16080000,-89.0689163208008
16120000,-107.437042236328
16160000,-97.3145065307617
16200000,-110.009574890137
16240000,-93.6562271118164
16280000,-111.679176330566
16320000,-91.3487167358398
16360000,-105.469787597656
16400000,-96.4460067749023
16440000,-112.772987365723
16480000,-91.81787109375
16520000,-109.273490905762
16560000,-90.7906188964844
16600000,-109.231544494629
16640000,-88.748176574707
16680000,-105.915939331055
16720000,-92.8433532714844
16760000,-105.268432617188
16800000,-92.1552352905273
16840000,-107.905311584473
16880000,-94.0504302978516
16920000,-109.271415710449
16960000,-92.6014938354492
17000000,-112.561553955078
17040000,-92.2047424316406
17080000,-103.206153869629
17120000,-92.0241470336914
17160000,-104.79434967041
17200000,-90.723258972168
17240000,-109.155754089355
17280000,-95.0607681274414
17320000,-103.674697875977
17360000,-91.956413269043
17400000,-108.557998657227
17440000,-93.9530181884766
17480000,-112.146629333496
17520000,-92.4394760131836
17560000,-109.404121398926
17600000,-91.7691192626953
17640000,-105.783767700195
17680000,-93.2879486083984
17720000,-105.653221130371
17760000,-90.9729690551758
17800000,-110.832641601563
17840000,-92.1525802612305
17880000,-115.277534484863
17920000,-94.1144638061523
17960000,-95.3271026611328
18000000,-69.7103805541992
18040000,-97.5182723999023
18080000,-91.8264999389648
18120000,-107.140533447266
18160000,-89.5090713500977
18200000,-106.384078979492
18240000,-91.8208389282227
18280000,-107.156356811523
18320000,-89.8186874389648
18360000,-103.157287597656
18400000,-92.2892761230469
18440000,-112.778305053711
18480000,-93.3421859741211
18520000,-114.244445800781
18560000,-92.3181533813477
18600000,-111.862457275391
18640000,-92.9410858154297
18680000,-107.518180847168
18720000,-90.9269332885742
18760000,-107.573783874512
18800000,-93.2828063964844
18840000,-108.314926147461
18880000,-90.1507415771484
18920000,-110.244415283203
18960000,-90.8022918701172
19000000,-104.638885498047
19040000,-90.9892425537109
19080000,-104.074592590332
19120000,-92.5412902832031
19160000,-106.471031188965
19200000,-92.7867431640625
19240000,-107.959770202637
19280000,-94.2229232788086
19320000,-108.520500183105
19360000,-92.2433242797852
19400000,-115.855445861816
19440000,-90.6924743652344
19480000,-110.498275756836
19520000,-91.5577392578125
19560000,-103.882278442383
19600000,-90.1669082641602
19640000,-109.474670410156
19680000,-92.3674163818359
19720000,-101.770622253418
19760000,-88.583137512207
19800000,-110.087257385254
19840000,-92.1714324951172
19880000,-113.0126953125
19920000,-95.4073867797852
19960000,-108.533294677734
20000000,-93.2700653076172
20040000,-106.828308105469
20080000,-90.9010238647461
20120000,-107.129791259766
20160000,-91.0066299438477
20200000,-103.630905151367
20240000,-94.1947784423828
20280000,-112.470603942871
20320000,-96.0667724609375
20360000,-106.190124511719
20400000,-93.8028106689453
20440000,-106.060417175293
20480000,-90.770881652832
20520000,-107.242065429688
20560000,-90.6220474243164
20600000,-105.71736907959
20640000,-89.7422866821289
20680000,-109.601768493652
20720000,-90.6336975097656
20760000,-111.293380737305
20800000,-93.4897689819336
20840000,-103.497245788574
20880000,-92.9993362426758
20920000,-108.008651733398
20960000,-94.0913696289063
21000000,-97.6578369140625
21040000,-91.2958679199219
21080000,-104.111198425293
21120000,-91.3464431762695
21160000,-106.14673614502
21200000,-92.6235809326172
21240000,-112.518867492676
21280000,-94.4596557617188
21320000,-105.899108886719
21360000,-94.126823425293
21400000,-104.285957336426
21440000,-91.8460464477539
21480000,-102.459022521973
21520000,-95.6467666625977
21560000,-105.109603881836
21600000,-92.7270126342773
21640000,-108.034873962402
21680000,-95.2927856445313
