Trace
Swept SA
A.21.04,N9000B
20000000,-87.9962310791016
20040000,-99.4542388916016
20080000,-86.9032211303711
20120000,-98.4220809936523
20160000,-90.4357299804688
20200000,-97.4131774902344
20240000,-88.3100357055664
20280000,-105.27587890625
20320000,-92.0134429931641
20360000,-98.9577789306641
20400000,-89.794677734375
20440000,-108.014205932617
20480000,-92.4170761108398
20520000,-112.576652526855
20560000,-88.9168548583984
20600000,-101.991844177246
20640000,-89.643928527832
20680000,-97.933219909668
20720000,-87.9137191772461
20760000,-102.899223327637
20800000,-87.9266891479492
20840000,-91.7461547851563
20880000,-89.821533203125
20920000,-101.440574645996
20960000,-92.8322525024414
21000000,-101.304977416992
21040000,-92.9141006469727
21080000,-100.255722045898
21120000,-88.8903427124023
21160000,-105.020347595215
21200000,-93.2871780395508
21240000,-105.044906616211
21280000,-87.981071472168
21320000,-105.027397155762
21360000,-93.6718521118164
21400000,-100.86759185791
21440000,-90.2664108276367
21480000,-114.687255859375
21520000,-93.7916259765625
21560000,-93.7229080200195
21600000,-92.1427764892578
21640000,-98.0096435546875
21680000,-88.1520767211914
21720000,-101.614486694336
21760000,-90.323356628418
21800000,-100.50611114502
21840000,-90.0990982055664
21880000,-94.6549911499023
21920000,-88.6318740844727
21960000,-98.077262878418
22000000,-93.3713836669922
22040000,-95.5362091064453
22080000,-87.0101699829102
22120000,-107.760284423828
22160000,-94.2355804443359
22200000,-94.173095703125
22240000,-90.0578079223633
22280000,-100.735404968262
22320000,-91.5579071044922
22360000,-105.473983764648
22400000,-91.0409851074219
22440000,-106.770942687988
22480000,-94.0166931152344
22520000,-104.440139770508
22560000,-89.7055740356445
22600000,-94.9155807495117
22640000,-90.2517242431641
22680000,-99.5369110107422
22720000,-91.9952011108398
22760000,-100.091110229492
22800000,-91.9587936401367
22840000,-93.9043502807617
22880000,-89.7147674560547
22920000,-106.91943359375
22960000,-89.7767868041992
23000000,-104.385467529297
23040000,-89.867431640625
23080000,-99.6071929931641
23120000,-88.9970016479492
23160000,-100.80835723877
23200000,-93.8599166870117
23240000,-107.58715057373
23280000,-94.2789611816406
23320000,-98.4902877807617
23360000,-90.9056015014648
23400000,-98.3545150756836
23440000,-84.7393798828125
23480000,-92.4648056030273
23520000,-87.2595367431641
23560000,-93.8055419921875
23600000,-89.6266708374023
23640000,-100.771339416504
23680000,-89.4595642089844
23720000,-99.968879699707
23760000,-92.3985061645508
23800000,-101.050094604492
23840000,-86.2931137084961
23880000,-93.4664001464844
23920000,-89.2785720825195
23960000,-98.926139831543
24000000,-88.8268890380859
24040000,-99.7845153808594
24080000,-90.2257537841797
24120000,-102.710014343262
24160000,-90.271598815918
24200000,-106.696807861328
24240000,-90.8561401367188
24280000,-107.990074157715
24320000,-96.0483016967773
24360000,-107.688705444336
24400000,-86.9316864013672
24440000,-95.8096618652344
24480000,-91.1967697143555
24520000,-98.821044921875
24560000,-90.3271484375
24600000,-101.680297851563
24640000,-92.850830078125
24680000,-97.3171539306641
24720000,-91.3073806762695
24760000,-102.459182739258
24800000,-91.2377548217773
24840000,-99.9009552001953
24880000,-89.1681213378906
24920000,-95.2675552368164
24960000,-87.3678359985352
25000000,-106.026588439941
25040000,-91.9577713012695
25080000,-108.25772857666
25120000,-91.9732437133789
25160000,-94.7357940673828
25200000,-88.0030136108398
25240000,-103.083274841309
25280000,-89.061882019043
25320000,-104.814178466797
25360000,-87.6643676757813
25400000,-95.5633926391602
25440000,-88.1648330688477
25480000,-110.57755279541
25520000,-88.9525527954102
25560000,-92.9714736938477
25600000,-89.3733749389648
25640000,-104.144004821777
25680000,-94.1181411743164
25720000,-103.905311584473
25760000,-90.5559463500977
25800000,-103.134178161621
25840000,-90.3924179077148
25880000,-106.17244720459
25920000,-88.2548294067383
25960000,-108.891242980957
26000000,-90.3749694824219
26040000,-103.115165710449
26080000,-93.347900390625
26120000,-101.406204223633
26160000,-85.2595062255859
26200000,-91.8940811157227
26240000,-86.153678894043
26280000,-103.220504760742
26320000,-87.5292892456055
26360000,-105.076652526855
26400000,-86.8494033813477
26440000,-106.29386138916
26480000,-90.0200881958008
26520000,-99.4770431518555
26560000,-89.7061996459961
26600000,-99.1031951904297
26640000,-92.6137847900391
26680000,-105.556205749512
26720000,-91.9329986572266
26760000,-97.4310989379883
26800000,-87.320198059082
26840000,-98.0039978027344
26880000,-89.8940048217773
26920000,-104.537544250488
26960000,-94.6217193603516
27000000,-108.24333190918
27040000,-92.16552734375
27080000,-98.4806213378906
27120000,-90.4762191772461
27160000,-93.6691589355469
27200000,-90.2678985595703
27240000,-102.36824798584
27280000,-92.183967590332
27320000,-99.7733383178711
27360000,-89.2856979370117
27400000,-106.636169433594
27440000,-91.0415802001953
27480000,-94.5754547119141
27520000,-91.4757537841797
27560000,-99.6611022949219
27600000,-89.5457153320313
27640000,-100.826370239258
27680000,-92.0326919555664
27720000,-96.5419616699219
27760000,-90.2476119995117
27800000,-103.524696350098
27840000,-92.2719421386719
27880000,-95.9373550415039
27920000,-89.7861862182617
27960000,-107.886543273926
28000000,-92.1174468994141
28040000,-95.736328125
28080000,-90.1775512695313
28120000,-103.716819763184
28160000,-91.3249130249023
28200000,-118.351463317871
28240000,-95.6490097045898
28280000,-95.5989761352539
28320000,-88.4697189331055
28360000,-100.549468994141
28400000,-92.1727828979492
28440000,-102.153198242188
28480000,-90.0020065307617
28520000,-98.0173110961914
28560000,-93.1672515869141
28600000,-102.744087219238
28640000,-91.6085510253906
28680000,-93.6417388916016
28720000,-87.8619232177734
28760000,-110.262054443359
28800000,-90.8839874267578
28840000,-103.335098266602
28880000,-91.5982208251953
28920000,-96.0913619995117
28960000,-91.0533828735352
29000000,-102.144309997559
29040000,-89.2512664794922
29080000,-99.3113174438477
29120000,-93.5440216064453
29160000,-97.4277648925781
29200000,-92.8309478759766
29240000,-96.6260986328125
29280000,-89.1156234741211
29320000,-93.2123413085938
29360000,-87.4736785888672
29400000,-109.742263793945
29440000,-94.9897079467773
29480000,-106.479736328125
29520000,-93.951789855957
29560000,-109.687911987305
29600000,-94.5774078369141
29640000,-96.036979675293
29680000,-89.8115158081055
29720000,-101.797286987305
29760000,-93.3373641967773
29800000,-97.4877700805664
29840000,-88.2394714355469
29880000,-106.01318359375
29920000,-92.367561340332
29960000,-106.07234954834
30000000,-92.470573425293
30040000,-101.159690856934
30080000,-90.7811889648438
30120000,-101.998275756836
30160000,-90.8645095825195
30200000,-99.5088882446289
30240000,-89.60107421875
30280000,-105.262916564941
30320000,-91.2620315551758
30360000,-102.695671081543
30400000,-91.2594451904297
30440000,-103.457290649414
30480000,-89.302490234375
30520000,-96.9974136352539
30560000,-90.328987121582
30600000,-98.4811782836914
